framenum,queue density,dynamic density
517,0.614408,0.0619749
518,0.621156,0.0634836
519,0.625419,0.0619318
520,0.644637,0.0816626
521,0.646502,0.0789234
522,0.650766,0.0764311
523,0.656808,0.0775872
524,0.665908,0.0774539
525,0.670548,0.0771718
526,0.673886,0.0778732
527,0.677938,0.0715053
528,0.681967,0.0714426
529,0.682782,0.0735352
530,0.685917,0.074413
531,0.688272,0.073253
532,0.689502,0.0762587
533,0.688868,0.0783082
534,0.69047,0.0752673
535,0.691344,0.0783474
536,0.691387,0.0777557
537,0.691199,0.0749146
538,0.692175,0.0775911
539,0.692622,0.077211
540,0.693041,0.0764899
541,0.693531,0.0793427
542,0.695138,0.081404
543,0.695177,0.0775205
544,0.695835,0.0815137
545,0.70979,0.096256
546,0.709292,0.0908913
547,0.708716,0.0925411
548,0.707156,0.0908678
549,0.706396,0.0864553
550,0.706537,0.0892611
551,0.70533,0.0890534
552,0.706322,0.077258
553,0.70591,0.0786531
554,0.704766,0.0760118
555,0.703767,0.0707058
556,0.702231,0.0730101
557,0.701694,0.0707685
558,0.701494,0.0644241
559,0.699895,0.065733
560,0.699715,0.0663796
561,0.700079,0.064044
562,0.699723,0.0711526
563,0.699871,0.0777517
564,0.699887,0.0767407
565,0.700232,0.0845821
566,0.700138,0.0875682
567,0.700726,0.0828579
568,0.700534,0.0892023
569,0.701259,0.0895667
570,0.695322,0.089026
571,0.69558,0.0906522
572,0.694272,0.0900997
573,0.695071,0.0849661
574,0.695467,0.0887281
575,0.694977,0.0836259
576,0.694542,0.0767094
577,0.694256,0.0714504
578,0.694162,0.0668145
579,0.693672,0.0561712
580,0.693523,0.053436
581,0.693245,0.0450028
582,0.692708,0.037087
583,0.692387,0.0378472
584,0.692618,0.0365423
585,0.691826,0.0352922
586,0.691971,0.0385918
587,0.692246,0.0401397
588,0.692869,0.0384585
589,0.693166,0.0397791
590,0.693159,0.0401318
591,0.693206,0.0383684
592,0.693268,0.0414407
593,0.696854,0.0412173
594,0.698484,0.0393951
595,0.717373,0.0547135
596,0.721617,0.0556187
597,0.724117,0.0549094
598,0.730818,0.0555286
599,0.732295,0.0571783
600,0.735191,0.0559479
601,0.736206,0.0578602
602,0.73657,0.0531381
603,0.737201,0.0515628
604,0.738463,0.0533693
605,0.739078,0.0536632
606,0.739259,0.0512728
607,0.742974,0.0539532
608,0.748797,0.0551053
609,0.750396,0.0523465
610,0.756293,0.0568413
